1743408331.017617 server started (27176): version 3.5a, socket /private/tmp/tmux-502/test, protocol 8
1743408331.017675 on Darwin 24.3.0 Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:16 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T6000
1743408331.017686 using libevent 2.1.12-stable select
1743408331.017699 using utf8proc 2.10.0
1743408331.017707 using ncurses 6.5 20240427
1743408331.018698 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1743408331.018702 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1743408331.018706 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1743408331.018710 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1743408331.018714 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1743408331.018719 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1743408331.018723 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1743408331.018727 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1743408331.018731 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1743408331.018736 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1743408331.018740 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1743408331.018744 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1743408331.018748 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1743408331.018752 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1743408331.018757 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1743408331.018761 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1743408331.018766 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1743408331.018770 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1743408331.018775 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1743408331.018779 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1743408331.018784 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1743408331.018788 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1743408331.018793 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1743408331.018797 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1743408331.018802 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1743408331.018806 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1743408331.018817 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1743408331.018821 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1743408331.018826 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1743408331.018830 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1743408331.018834 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1743408331.018838 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1743408331.018842 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1743408331.018846 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1743408331.018850 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1743408331.018855 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1743408331.018859 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1743408331.018863 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1743408331.018867 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1743408331.018871 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1743408331.018875 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1743408331.018879 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1743408331.018883 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1743408331.018887 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1743408331.018891 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1743408331.018895 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1743408331.018900 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1743408331.018904 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1743408331.018908 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1743408331.018912 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1743408331.018916 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1743408331.018920 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1743408331.018924 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1743408331.018929 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1743408331.018933 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1743408331.018937 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1743408331.018941 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1743408331.018945 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1743408331.018949 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1743408331.018952 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1743408331.018956 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1743408331.018960 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1743408331.018964 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1743408331.018967 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1743408331.018971 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1743408331.018975 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1743408331.018979 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1743408331.018982 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1743408331.018986 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1743408331.018990 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1743408331.019007 yylex_token: end at WS
1743408331.019017 yylex_token: bind
1743408331.019025 yylex_token: end at WS
1743408331.019034 yylex_token: -N
1743408331.019048 yylex_token: end at WS
1743408331.019057 yylex_token: Send the prefix key
1743408331.019066 yylex_token: end at WS
1743408331.019078 yylex_token: C-b
1743408331.019088 yylex_token: end at WS
1743408331.019097 yylex_token: send-prefix
1743408331.019110 cmd_parse_build_commands 0:0: bind
1743408331.019120 cmd_parse_build_commands 0:1: -N
1743408331.019129 cmd_parse_build_commands 0:2: Send the prefix key
1743408331.019138 cmd_parse_build_commands 0:3: C-b
1743408331.019149 cmd_parse_build_commands 0:4 0:0: send-prefix
1743408331.019192 cmd_parse_build_commands 0:0: send-prefix
1743408331.019209 args_parse: flags end at 1 of 1
1743408331.019225 cmd_parse_build_commands: send-prefix
1743408331.019236 args_parse_flags: next -N
1743408331.019247 args_parse_flag_argument: -N = Send the prefix key
1743408331.019256 args_parse_flags: next C-b
1743408331.019268 args_parse: flags end at 3 of 5
1743408331.019279 args_parse: 3 = C-b (type STRING)
1743408331.019292 args_parse: 4 = send-prefix (type COMMANDS)
1743408331.019311 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1743408331.019328 cmdq_get_command: [bind-key/0x12d104490] group 6
1743408331.019338 cmdq_append <global>: [bind-key/0x12d104490]
1743408331.019344 yylex_token: end at WS
1743408331.019361 yylex_token: bind
1743408331.019371 yylex_token: end at WS
1743408331.019380 yylex_token: -N
1743408331.019390 yylex_token: end at WS
1743408331.019399 yylex_token: Rotate through the panes
1743408331.019411 yylex_token: end at WS
1743408331.019422 yylex_token: C-o
1743408331.019432 yylex_token: end at WS
1743408331.019443 yylex_token: rotate-window
1743408331.019455 cmd_parse_build_commands 0:0: bind
1743408331.019467 cmd_parse_build_commands 0:1: -N
1743408331.019478 cmd_parse_build_commands 0:2: Rotate through the panes
1743408331.019486 cmd_parse_build_commands 0:3: C-o
1743408331.019496 cmd_parse_build_commands 0:4 0:0: rotate-window
1743408331.019506 cmd_parse_build_commands 0:0: rotate-window
1743408331.019518 args_parse: flags end at 1 of 1
1743408331.019531 cmd_parse_build_commands: rotate-window
1743408331.019542 args_parse_flags: next -N
1743408331.019552 args_parse_flag_argument: -N = Rotate through the panes
1743408331.019562 args_parse_flags: next C-o
1743408331.019571 args_parse: flags end at 3 of 5
1743408331.019580 args_parse: 3 = C-o (type STRING)
1743408331.019592 args_parse: 4 = rotate-window (type COMMANDS)
1743408331.019611 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1743408331.019623 cmdq_get_command: [bind-key/0x12d1048c0] group 14
1743408331.019635 cmdq_append <global>: [bind-key/0x12d1048c0]
1743408331.019642 yylex_token: end at WS
1743408331.019651 yylex_token: bind
1743408331.019670 yylex_token: end at WS
1743408331.019682 yylex_token: -N
1743408331.019693 yylex_token: end at WS
1743408331.019704 yylex_token: Suspend the current client
1743408331.019714 yylex_token: end at WS
1743408331.019723 yylex_token: C-z
1743408331.019732 yylex_token: end at WS
1743408331.019742 yylex_token: suspend-client
1743408331.019752 cmd_parse_build_commands 0:0: bind
1743408331.019763 cmd_parse_build_commands 0:1: -N
1743408331.019774 cmd_parse_build_commands 0:2: Suspend the current client
1743408331.019785 cmd_parse_build_commands 0:3: C-z
1743408331.019797 cmd_parse_build_commands 0:4 0:0: suspend-client
1743408331.019810 cmd_parse_build_commands 0:0: suspend-client
1743408331.019823 args_parse: flags end at 1 of 1
1743408331.019835 cmd_parse_build_commands: suspend-client
1743408331.019850 args_parse_flags: next -N
1743408331.019863 args_parse_flag_argument: -N = Suspend the current client
1743408331.019877 args_parse_flags: next C-z
1743408331.019883 args_parse: flags end at 3 of 5
1743408331.019888 args_parse: 3 = C-z (type STRING)
1743408331.019895 args_parse: 4 = suspend-client (type COMMANDS)
1743408331.019911 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1743408331.019918 cmdq_get_command: [bind-key/0x12d104ec0] group 22
1743408331.019928 cmdq_append <global>: [bind-key/0x12d104ec0]
1743408331.019936 yylex_token: end at WS
1743408331.019940 yylex_token: bind
1743408331.019944 yylex_token: end at WS
1743408331.019958 yylex_token: -N
1743408331.019963 yylex_token: end at WS
1743408331.019972 yylex_token: Select next layout
1743408331.019982 yylex_token: end at WS
1743408331.019991 yylex_token: Space
1743408331.020001 yylex_token: end at WS
1743408331.020011 yylex_token: next-layout
1743408331.020021 cmd_parse_build_commands 0:0: bind
1743408331.020054 cmd_parse_build_commands 0:1: -N
1743408331.020063 cmd_parse_build_commands 0:2: Select next layout
1743408331.020072 cmd_parse_build_commands 0:3: Space
1743408331.020082 cmd_parse_build_commands 0:4 0:0: next-layout
1743408331.020094 cmd_parse_build_commands 0:0: next-layout
1743408331.020106 args_parse: flags end at 1 of 1
1743408331.020118 cmd_parse_build_commands: next-layout
1743408331.020130 args_parse_flags: next -N
1743408331.020141 args_parse_flag_argument: -N = Select next layout
1743408331.020151 args_parse_flags: next Space
1743408331.020162 args_parse: flags end at 3 of 5
1743408331.020173 args_parse: 3 = Space (type STRING)
1743408331.020185 args_parse: 4 = next-layout (type COMMANDS)
1743408331.020202 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1743408331.020215 cmdq_get_command: [bind-key/0x12d1051f0] group 30
1743408331.020227 cmdq_append <global>: [bind-key/0x12d1051f0]
1743408331.020238 yylex_token: end at WS
1743408331.020250 yylex_token: bind
1743408331.020264 yylex_token: end at WS
1743408331.020277 yylex_token: -N
1743408331.020290 yylex_token: end at WS
1743408331.020300 yylex_token: Break pane to a new window
1743408331.020311 yylex_token: end at WS
1743408331.020322 yylex_token: !
1743408331.020333 yylex_token: end at WS
1743408331.020343 yylex_token: break-pane
1743408331.020350 cmd_parse_build_commands 0:0: bind
1743408331.020362 cmd_parse_build_commands 0:1: -N
1743408331.020371 cmd_parse_build_commands 0:2: Break pane to a new window
1743408331.020382 cmd_parse_build_commands 0:3: !
1743408331.020394 cmd_parse_build_commands 0:4 0:0: break-pane
1743408331.020407 cmd_parse_build_commands 0:0: break-pane
1743408331.020422 args_parse: flags end at 1 of 1
1743408331.020434 cmd_parse_build_commands: break-pane
1743408331.020444 args_parse_flags: next -N
1743408331.020495 args_parse_flag_argument: -N = Break pane to a new window
1743408331.020503 args_parse_flags: next !
1743408331.020509 args_parse: flags end at 3 of 5
1743408331.020514 args_parse: 3 = ! (type STRING)
1743408331.020522 args_parse: 4 = break-pane (type COMMANDS)
1743408331.020540 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1743408331.020547 cmdq_get_command: [bind-key/0x12be052d0] group 38
1743408331.020553 cmdq_append <global>: [bind-key/0x12be052d0]
1743408331.020559 yylex_token: end at WS
1743408331.020564 yylex_token: bind
1743408331.020569 yylex_token: end at WS
1743408331.020574 yylex_token: -N
1743408331.020580 yylex_token: end at WS
1743408331.020585 yylex_token: Split window vertically
1743408331.020590 yylex_token: end at WS
1743408331.020594 yylex_token: "
1743408331.020599 yylex_token: end at WS
1743408331.020604 yylex_token: split-window
1743408331.020614 cmd_parse_build_commands 0:0: bind
1743408331.020619 cmd_parse_build_commands 0:1: -N
1743408331.020624 cmd_parse_build_commands 0:2: Split window vertically
1743408331.020629 cmd_parse_build_commands 0:3: "
1743408331.020634 cmd_parse_build_commands 0:4 0:0: split-window
1743408331.020642 cmd_parse_build_commands 0:0: split-window
1743408331.020650 args_parse: flags end at 1 of 1
1743408331.020656 cmd_parse_build_commands: split-window
1743408331.020661 args_parse_flags: next -N
1743408331.020666 args_parse_flag_argument: -N = Split window vertically
1743408331.020671 args_parse_flags: next "
1743408331.020676 args_parse: flags end at 3 of 5
1743408331.020680 args_parse: 3 = " (type STRING)
1743408331.020686 args_parse: 4 = split-window (type COMMANDS)
1743408331.020698 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1743408331.020705 cmdq_get_command: [bind-key/0x12be056f0] group 46
1743408331.020710 cmdq_append <global>: [bind-key/0x12be056f0]
1743408331.020715 yylex_token: end at WS
1743408331.020720 yylex_token: bind
1743408331.020724 yylex_token: end at WS
1743408331.020729 yylex_token: -N
1743408331.020734 yylex_token: end at WS
1743408331.020739 yylex_token: List all paste buffers
1743408331.020745 yylex_token: end at WS
1743408331.020762 yylex_token: #
1743408331.020768 yylex_token: end at WS
1743408331.020774 yylex_token: list-buffers
1743408331.020780 cmd_parse_build_commands 0:0: bind
1743408331.020785 cmd_parse_build_commands 0:1: -N
1743408331.020791 cmd_parse_build_commands 0:2: List all paste buffers
1743408331.020797 cmd_parse_build_commands 0:3: #
1743408331.020803 cmd_parse_build_commands 0:4 0:0: list-buffers
1743408331.020810 cmd_parse_build_commands 0:0: list-buffers
1743408331.020818 args_parse: flags end at 1 of 1
1743408331.020824 cmd_parse_build_commands: list-buffers
1743408331.020828 args_parse_flags: next -N
1743408331.020834 args_parse_flag_argument: -N = List all paste buffers
1743408331.020839 args_parse_flags: next #
1743408331.020844 args_parse: flags end at 3 of 5
1743408331.020849 args_parse: 3 = # (type STRING)
1743408331.020855 args_parse: 4 = list-buffers (type COMMANDS)
1743408331.020865 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1743408331.020872 cmdq_get_command: [bind-key/0x12be05af0] group 54
1743408331.020877 cmdq_append <global>: [bind-key/0x12be05af0]
1743408331.020882 yylex_token: end at WS
1743408331.020886 yylex_token: bind
1743408331.020891 yylex_token: end at WS
1743408331.020896 yylex_token: -N
1743408331.020901 yylex_token: end at WS
1743408331.020907 yylex_token: Rename current session
1743408331.020912 yylex_token: end at WS
1743408331.020918 yylex_token: $
1743408331.020922 yylex_token: end at WS
1743408331.020927 yylex_token: command-prompt
1743408331.020931 yylex_token: end at WS
1743408331.020935 yylex_token: -I#S
1743408331.020940 yylex_token: end at WS
1743408331.020945 yylex_token: rename-session
